timestamp,idx,label,width,height,xmin,ymin,xmax,ymax,score
3_20191018_162514_001020,0,car,1920,1080,1240,559,1327,606,0.58203125
3_20191018_162514_001020,1,car,1920,1080,923,581,984,639,0.58203125
3_20191018_162514_001020,2,car,1920,1080,766,593,792,620,0.5
3_20191018_162514_001020,3,car,1920,1080,1354,575,1432,631,0.41796875
3_20191018_162514_001020,4,car,1920,1080,859,595,890,625,0.41796875
3_20191018_162514_001020,5,car,1920,1080,1265,545,1316,575,0.33984375
3_20191018_162514_001050,0,car,1920,1080,1320,556,1435,617,0.73046875
3_20191018_162514_001050,1,car,1920,1080,1682,546,1843,629,0.5
3_20191018_162514_001050,2,car,1920,1080,1729,536,1810,576,0.41796875
3_20191018_162514_001050,3,car,1920,1080,967,546,991,570,0.41796875
3_20191018_162514_001050,4,car,1920,1080,1654,550,1754,625,0.41796875
3_20191018_162514_001080,0,car,1920,1080,1430,568,1527,626,0.41796875
3_20191018_162514_001110,0,car,1920,1080,859,598,891,630,0.41796875
3_20191018_162514_001110,1,car,1920,1080,342,596,396,625,0.41796875
3_20191018_162514_001110,2,car,1920,1080,441,588,492,617,0.41796875
3_20191018_162514_001140,0,car,1920,1080,1088,540,1210,650,0.41796875
3_20191018_162514_001140,1,car,1920,1080,333,595,391,623,0.41796875
3_20191018_162514_001140,2,car,1920,1080,851,591,888,627,0.41796875
3_20191018_162514_001140,3,car,1920,1080,234,601,291,629,0.41796875
3_20191018_162514_001140,4,car,1920,1080,914,580,993,641,0.41796875
3_20191018_162514_001170,0,car,1920,1080,1320,591,1415,626,0.73046875
3_20191018_162514_001170,1,car,1920,1080,865,594,901,624,0.58203125
3_20191018_162514_001170,2,car,1920,1080,922,607,1019,660,0.58203125
3_20191018_162514_001170,3,car,1920,1080,769,589,803,617,0.58203125
3_20191018_162514_001170,4,car,1920,1080,946,594,995,633,0.5
3_20191018_162514_001200,0,car,1920,1080,352,601,420,640,0.58203125
3_20191018_162514_001200,1,car,1920,1080,448,597,485,632,0.41796875
3_20191018_162514_001200,2,car,1920,1080,859,599,894,627,0.41796875
3_20191018_162514_001200,3,car,1920,1080,1441,583,1557,630,0.41796875
3_20191018_162514_001200,4,car,1920,1080,1495,577,1602,626,0.33984375
3_20191018_162514_001230,0,car,1920,1080,844,601,889,631,0.5
3_20191018_162514_001230,1,car,1920,1080,15,623,100,663,0.41796875
3_20191018_162514_001230,2,car,1920,1080,242,608,287,640,0.33984375
3_20191018_162514_001260,0,car,1920,1080,763,581,795,613,0.58203125
3_20191018_162514_001260,1,car,1920,1080,847,590,886,625,0.5
3_20191018_162514_001290,0,car,1920,1080,752,588,799,620,0.73046875
3_20191018_162514_001290,1,car,1920,1080,237,606,285,637,0.41796875
3_20191018_162514_001290,2,car,1920,1080,664,600,695,630,0.33984375
3_20191018_162514_001320,0,car,1920,1080,443,608,500,636,0.58203125
3_20191018_162514_001320,1,car,1920,1080,768,603,811,633,0.58203125
3_20191018_162514_001320,2,car,1920,1080,219,605,275,637,0.5
3_20191018_162514_001320,3,car,1920,1080,800,636,1023,754,0.41796875
3_20191018_162514_001320,4,car,1920,1080,132,603,182,636,0.41796875
3_20191018_162514_001350,0,car,1920,1080,1232,553,1829,778,0.66015625
3_20191018_162514_001350,1,car,1920,1080,759,600,799,632,0.58203125
3_20191018_162514_001350,2,car,1920,1080,1171,599,1212,633,0.41796875
3_20191018_162514_001350,3,car,1920,1080,22,609,93,640,0.33984375
3_20191018_162514_001350,4,car,1920,1080,148,606,196,637,0.33984375
3_20191018_162514_001380,0,car,1920,1080,551,594,590,635,0.41796875
3_20191018_162514_001380,1,car,1920,1080,1042,567,1109,632,0.33984375
